# normalized display name	exact unenchanted UniqueName
# entries=1653
acid potion	T5_POTION_ACID
adept's arcane staff	T4_MAIN_ARCANESTAFF
adept's arclight blasters	T4_2H_DUALCROSSBOW_CRYSTAL
adept's arctic staff	T4_2H_FROSTSTAFF_CRYSTAL
adept's armor of valor	T4_ARMOR_PLATE_AVALON
adept's assassin hood	T4_HEAD_LEATHER_SET3
adept's assassin jacket	T4_ARMOR_LEATHER_SET3
adept's assassin shoes	T4_SHOES_LEATHER_SET3
adept's astral aegis	T4_OFF_SHIELD_AVALON
adept's astral staff	T4_2H_ARCANESTAFF_CRYSTAL
adept's avalonian axe	T4_2H_TOOL_AXE_AVALON
adept's avalonian cape	T4_CAPEITEM_AVALON
adept's avalonian crest	T4_CAPEITEM_AVALON_BP
adept's avalonian fishing rod	T4_2H_TOOL_FISHINGROD_AVALON
adept's avalonian pickaxe	T4_2H_TOOL_PICK_AVALON
adept's avalonian sickle	T4_2H_TOOL_SICKLE_AVALON
adept's avalonian siege hammer	T4_2H_TOOL_SIEGEHAMMER_AVALON
adept's avalonian skinning knife	T4_2H_TOOL_KNIFE_AVALON
adept's avalonian stone hammer	T4_2H_TOOL_HAMMER_AVALON
adept's axe	T4_2H_TOOL_AXE
adept's bag	T4_BAG
adept's battle bracers	T4_2H_KNUCKLES_SET2
adept's battleaxe	T4_MAIN_AXE
adept's bear paws	T4_2H_DUALAXE_KEEPER
adept's bedrock mace	T4_MAIN_ROCKMACE_KEEPER
adept's black hands	T4_2H_IRONGAUNTLETS_HELL
adept's black monk staff	T4_2H_COMBATSTAFF_MORGANA
adept's blazing staff	T4_2H_INFERNOSTAFF_MORGANA
adept's blight staff	T4_2H_NATURESTAFF_HELL
adept's bloodletter	T4_MAIN_RAPIER_MORGANA
adept's bloodmoon staff	T4_2H_SHAPESHIFTER_MORGANA
adept's blueflame torch	T4_OFF_TORCH_CRYSTAL
adept's boltcasters	T4_2H_DUALCROSSBOW_HELL
adept's boots of valor	T4_SHOES_PLATE_AVALON
adept's bow	T4_2H_BOW
adept's bow of badon	T4_2H_BOW_KEEPER
adept's brawler gloves	T4_2H_KNUCKLES_SET1
adept's brecilien cape	T4_CAPEITEM_FW_BRECILIEN
adept's brecilien crest	T4_CAPEITEM_FW_BRECILIEN_BP
adept's bridgewatch cape	T4_CAPEITEM_FW_BRIDGEWATCH
adept's bridgewatch crest	T4_CAPEITEM_FW_BRIDGEWATCH_BP
adept's bridled fury	T4_2H_DAGGER_KATAR_AVALON
adept's brimstone staff	T4_2H_FIRESTAFF_HELL
adept's broadsword	T4_MAIN_SWORD
adept's caerleon cape	T4_CAPEITEM_FW_CAERLEON
adept's caerleon crest	T4_CAPEITEM_FW_CAERLEON_BP
adept's caitiff shield	T4_OFF_SHIELD_HELL
adept's camlann mace	T4_2H_MACE_MORGANA
adept's cape	T4_CAPE
adept's carrioncaller	T4_2H_HALBERD_MORGANA
adept's carving sword	T4_2H_CLEAVER_HELL
adept's celestial censer	T4_OFF_CENSER_AVALON
adept's chillhowl	T4_MAIN_FROSTSTAFF_AVALON
adept's clarent blade	T4_MAIN_SCIMITAR_MORGANA
adept's claws	T4_2H_CLAWPAIR
adept's claymore	T4_2H_CLAYMORE
adept's cleric cowl	T4_HEAD_CLOTH_SET2
adept's cleric robe	T4_ARMOR_CLOTH_SET2
adept's cleric sandals	T4_SHOES_CLOTH_SET2
adept's cowl of purity	T4_HEAD_CLOTH_AVALON
adept's crossbow	T4_2H_CROSSBOW
adept's cryptcandle	T4_OFF_LAMP_UNDEAD
adept's crystal reaper	T4_2H_SCYTHE_CRYSTAL
adept's cultist cowl	T4_HEAD_CLOTH_MORGANA
adept's cultist robe	T4_ARMOR_CLOTH_MORGANA
adept's cultist sandals	T4_SHOES_CLOTH_MORGANA
adept's cursed skull	T4_2H_SKULLORB_HELL
adept's cursed staff	T4_MAIN_CURSEDSTAFF
adept's dagger	T4_MAIN_DAGGER
adept's dagger pair	T4_2H_DAGGERPAIR
adept's damnation staff	T4_2H_CURSEDSTAFF_MORGANA
