# normalized display name	exact unenchanted UniqueName
# Generated from formatted-items.txt; used for market_history demand lookups.
# entries=5092
"tame" caerleon cottontail	T8_FARM_RABBIT_EASTER_GROWN_DARK
1st place statue - energy surge season	UNIQUE_FURNITUREITEM_GVG_SEASON_ENERGY_RUSH_1ST
1st place statue - season 10	UNIQUE_FURNITUREITEM_GVG_SEASON_10_1ST
1st place statue - season 11	UNIQUE_FURNITUREITEM_GVG_SEASON_11_1ST
1st place statue - season 12	UNIQUE_FURNITUREITEM_GVG_SEASON_12_1ST
1st place statue - season 13	UNIQUE_FURNITUREITEM_GVG_SEASON_13_1ST
1st place statue - season 14	UNIQUE_FURNITUREITEM_GVG_SEASON_14_1ST
1st place statue - season 15	UNIQUE_FURNITUREITEM_GVG_SEASON_15_1ST
1st place statue - season 16	UNIQUE_FURNITUREITEM_GVG_SEASON_16_1ST
1st place statue - season 17	UNIQUE_FURNITUREITEM_GVG_SEASON_17_1ST
1st place statue - season 18	UNIQUE_FURNITUREITEM_GVG_SEASON_18_1ST
1st place statue - season 9	UNIQUE_FURNITUREITEM_GVG_SEASON_09_1ST
1v1 arena chest - bronze i	T5_LOOTBAG_1V1_ARENA_RANK_UP_BRONZE1
1v1 arena chest - bronze ii	T5_LOOTBAG_1V1_ARENA_RANK_UP_BRONZE2
1v1 arena chest - bronze iii	T5_LOOTBAG_1V1_ARENA_RANK_UP_BRONZE3
1v1 arena chest - bronze iv	T5_LOOTBAG_1V1_ARENA_RANK_UP_BRONZE4
1v1 arena chest - crystal	T8_LOOTBAG_1V1_ARENA_RANK_UP_CRYSTAL
1v1 arena chest - gold i	T7_LOOTBAG_1V1_ARENA_RANK_UP_GOLD1
1v1 arena chest - gold ii	T7_LOOTBAG_1V1_ARENA_RANK_UP_GOLD2
1v1 arena chest - gold iii	T7_LOOTBAG_1V1_ARENA_RANK_UP_GOLD3
1v1 arena chest - gold iv	T7_LOOTBAG_1V1_ARENA_RANK_UP_GOLD4
1v1 arena chest - iron ii	T4_LOOTBAG_1V1_ARENA_RANK_UP_IRON2
1v1 arena chest - iron iii	T4_LOOTBAG_1V1_ARENA_RANK_UP_IRON3
1v1 arena chest - iron iv	T4_LOOTBAG_1V1_ARENA_RANK_UP_IRON4
1v1 arena chest - silver i	T6_LOOTBAG_1V1_ARENA_RANK_UP_SILVER1
1v1 arena chest - silver ii	T6_LOOTBAG_1V1_ARENA_RANK_UP_SILVER2
1v1 arena chest - silver iii	T6_LOOTBAG_1V1_ARENA_RANK_UP_SILVER3
1v1 arena chest - silver iv	T6_LOOTBAG_1V1_ARENA_RANK_UP_SILVER4
1v1 premium victory pouch (bronze i)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_BRONZE1
