# item display name	tier	extra item id	extra display name	count	returnable
# Exact recipe requirements. Shapeshifter artifact/remnant tier always equals crafted tier.
Arclight Blasters	4	T4_ARTEFACT_2H_DUALCROSSBOW_CRYSTAL	Adept's Arclight Crystal	1	false
Arclight Blasters	5	T5_ARTEFACT_2H_DUALCROSSBOW_CRYSTAL	Expert's Arclight Crystal	1	false
Arclight Blasters	6	T6_ARTEFACT_2H_DUALCROSSBOW_CRYSTAL	Master's Arclight Crystal	1	false
Arclight Blasters	7	T7_ARTEFACT_2H_DUALCROSSBOW_CRYSTAL	Grandmaster's Arclight Crystal	1	false
Arclight Blasters	8	T8_ARTEFACT_2H_DUALCROSSBOW_CRYSTAL	Elder's Arclight Crystal	1	false
Arctic Staff	4	T4_ARTEFACT_2H_FROSTSTAFF_CRYSTAL	Adept's Icy Crystal	1	false
Arctic Staff	5	T5_ARTEFACT_2H_FROSTSTAFF_CRYSTAL	Expert's Icy Crystal	1	false
Arctic Staff	6	T6_ARTEFACT_2H_FROSTSTAFF_CRYSTAL	Master's Icy Crystal	1	false
Arctic Staff	7	T7_ARTEFACT_2H_FROSTSTAFF_CRYSTAL	Grandmaster's Icy Crystal	1	false
Arctic Staff	8	T8_ARTEFACT_2H_FROSTSTAFF_CRYSTAL	Elder's Icy Crystal	1	false
Armor of Valor	4	T4_ARTEFACT_ARMOR_PLATE_AVALON	Adept's Exalted Plating	1	false
Armor of Valor	5	T5_ARTEFACT_ARMOR_PLATE_AVALON	Expert's Exalted Plating	1	false
Armor of Valor	6	T6_ARTEFACT_ARMOR_PLATE_AVALON	Master's Exalted Plating	1	false
Armor of Valor	7	T7_ARTEFACT_ARMOR_PLATE_AVALON	Grandmaster's Exalted Plating	1	false
Armor of Valor	8	T8_ARTEFACT_ARMOR_PLATE_AVALON	Elder's Exalted Plating	1	false
Astral Aegis	4	T4_ARTEFACT_OFF_SHIELD_AVALON	Adept's Crushed Avalonian Heirloom	1	false
Astral Aegis	5	T5_ARTEFACT_OFF_SHIELD_AVALON	Expert's Crushed Avalonian Heirloom	1	false
Astral Aegis	6	T6_ARTEFACT_OFF_SHIELD_AVALON	Master's Crushed Avalonian Heirloom	1	false
Astral Aegis	7	T7_ARTEFACT_OFF_SHIELD_AVALON	Grandmaster's Crushed Avalonian Heirloom	1	false
Astral Aegis	8	T8_ARTEFACT_OFF_SHIELD_AVALON	Elder's Crushed Avalonian Heirloom	1	false
Astral Staff	4	T4_ARTEFACT_2H_ARCANESTAFF_CRYSTAL	Adept's Startouched Crystal	1	false
Astral Staff	5	T5_ARTEFACT_2H_ARCANESTAFF_CRYSTAL	Expert's Startouched Crystal	1	false
Astral Staff	6	T6_ARTEFACT_2H_ARCANESTAFF_CRYSTAL	Master's Startouched Crystal	1	false
Astral Staff	7	T7_ARTEFACT_2H_ARCANESTAFF_CRYSTAL	Grandmaster's Startouched Crystal	1	false
Astral Staff	8	T8_ARTEFACT_2H_ARCANESTAFF_CRYSTAL	Elder's Startouched Crystal	1	false
Avalonian Axe	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Axe	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Axe	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Axe	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Axe	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Avalonian Cape	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	15	false
Avalonian Cape	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	15	false
Avalonian Cape	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	45	false
Avalonian Cape	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	75	false
Avalonian Cape	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	150	false
Avalonian Fishing Rod	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Fishing Rod	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Fishing Rod	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Fishing Rod	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Fishing Rod	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Avalonian Pickaxe	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Pickaxe	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Pickaxe	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Pickaxe	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Pickaxe	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Avalonian Sickle	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Sickle	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Sickle	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Sickle	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Sickle	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Avalonian Siege Hammer	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Siege Hammer	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Siege Hammer	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Siege Hammer	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Siege Hammer	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Avalonian Skinning Knife	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Skinning Knife	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Skinning Knife	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Skinning Knife	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Skinning Knife	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Avalonian Stone Hammer	4	QUESTITEM_TOKEN_AVALON	Avalonian Energy	20	false
Avalonian Stone Hammer	5	QUESTITEM_TOKEN_AVALON	Avalonian Energy	90	false
Avalonian Stone Hammer	6	QUESTITEM_TOKEN_AVALON	Avalonian Energy	160	false
Avalonian Stone Hammer	7	QUESTITEM_TOKEN_AVALON	Avalonian Energy	230	false
Avalonian Stone Hammer	8	QUESTITEM_TOKEN_AVALON	Avalonian Energy	300	false
Bear Paws	4	T4_ARTEFACT_2H_DUALAXE_KEEPER	Adept's Keeper Axeheads	1	false
Bear Paws	5	T5_ARTEFACT_2H_DUALAXE_KEEPER	Expert's Keeper Axeheads	1	false
Bear Paws	6	T6_ARTEFACT_2H_DUALAXE_KEEPER	Master's Keeper Axeheads	1	false
Bear Paws	7	T7_ARTEFACT_2H_DUALAXE_KEEPER	Grandmaster's Keeper Axeheads	1	false
Bear Paws	8	T8_ARTEFACT_2H_DUALAXE_KEEPER	Elder's Keeper Axeheads	1	false
Bedrock Mace	4	T4_ARTEFACT_MAIN_ROCKMACE_KEEPER	Adept's Runed Rock	1	false
Bedrock Mace	5	T5_ARTEFACT_MAIN_ROCKMACE_KEEPER	Expert's Runed Rock	1	false
Bedrock Mace	6	T6_ARTEFACT_MAIN_ROCKMACE_KEEPER	Master's Runed Rock	1	false
Bedrock Mace	7	T7_ARTEFACT_MAIN_ROCKMACE_KEEPER	Grandmaster's Runed Rock	1	false
Bedrock Mace	8	T8_ARTEFACT_MAIN_ROCKMACE_KEEPER	Elder's Runed Rock	1	false
Black Monk Stave	4	T4_ARTEFACT_2H_COMBATSTAFF_MORGANA	Adept's Reinforced Morgana Pole	1	false
Black Monk Stave	5	T5_ARTEFACT_2H_COMBATSTAFF_MORGANA	Expert's Reinforced Morgana Pole	1	false
Black Monk Stave	6	T6_ARTEFACT_2H_COMBATSTAFF_MORGANA	Master's Reinforced Morgana Pole	1	false
Black Monk Stave	7	T7_ARTEFACT_2H_COMBATSTAFF_MORGANA	Grandmaster's Reinforced Morgana Pole	1	false
Black Monk Stave	8	T8_ARTEFACT_2H_COMBATSTAFF_MORGANA	Elder's Reinforced Morgana Pole	1	false
Blazing Staff	4	T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA	Adept's Unholy Scroll	1	false
Blazing Staff	5	T5_ARTEFACT_2H_INFERNOSTAFF_MORGANA	Expert's Unholy Scroll	1	false
Blazing Staff	6	T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA	Master's Unholy Scroll	1	false
Blazing Staff	7	T7_ARTEFACT_2H_INFERNOSTAFF_MORGANA	Grandmaster's Unholy Scroll	1	false
Blazing Staff	8	T8_ARTEFACT_2H_INFERNOSTAFF_MORGANA	Elder's Unholy Scroll	1	false
Blight Staff	4	T4_ARTEFACT_2H_NATURESTAFF_HELL	Adept's Symbol of Blight	1	false
Blight Staff	5	T5_ARTEFACT_2H_NATURESTAFF_HELL	Expert's Symbol of Blight	1	false
Blight Staff	6	T6_ARTEFACT_2H_NATURESTAFF_HELL	Master's Symbol of Blight	1	false
Blight Staff	7	T7_ARTEFACT_2H_NATURESTAFF_HELL	Grandmaster's Symbol of Blight	1	false
Blight Staff	8	T8_ARTEFACT_2H_NATURESTAFF_HELL	Elder's Symbol of Blight	1	false
Bloodletter	4	T4_ARTEFACT_MAIN_RAPIER_MORGANA	Adept's Hardened Debole	1	false
Bloodletter	5	T5_ARTEFACT_MAIN_RAPIER_MORGANA	Expert's Hardened Debole	1	false
Bloodletter	6	T6_ARTEFACT_MAIN_RAPIER_MORGANA	Master's Hardened Debole	1	false
Bloodletter	7	T7_ARTEFACT_MAIN_RAPIER_MORGANA	Grandmaster's Hardened Debole	1	false
Bloodletter	8	T8_ARTEFACT_MAIN_RAPIER_MORGANA	Elder's Hardened Debole	1	false
Bloodmoon Staff	4	T4_ARTEFACT_2H_SHAPESHIFTER_MORGANA	Adept's Werewolf Remnant	1	false
Bloodmoon Staff	5	T5_ARTEFACT_2H_SHAPESHIFTER_MORGANA	Expert's Werewolf Remnant	1	false
Bloodmoon Staff	6	T6_ARTEFACT_2H_SHAPESHIFTER_MORGANA	Master's Werewolf Remnant	1	false
Bloodmoon Staff	7	T7_ARTEFACT_2H_SHAPESHIFTER_MORGANA	Grandmaster's Werewolf Remnant	1	false
Bloodmoon Staff	8	T8_ARTEFACT_2H_SHAPESHIFTER_MORGANA	Elder's Werewolf Remnant	1	false
Blueflame Torch	4	T4_ARTEFACT_OFF_TORCH_CRYSTAL	Adept's Blueflame Crystal	1	false
Blueflame Torch	5	T5_ARTEFACT_OFF_TORCH_CRYSTAL	Expert's Blueflame Crystal	1	false
Blueflame Torch	6	T6_ARTEFACT_OFF_TORCH_CRYSTAL	Master's Blueflame Crystal	1	false
Blueflame Torch	7	T7_ARTEFACT_OFF_TORCH_CRYSTAL	Grandmaster's Blueflame Crystal	1	false
Blueflame Torch	8	T8_ARTEFACT_OFF_TORCH_CRYSTAL	Elder's Blueflame Crystal	1	false
Boltcasters	4	T4_ARTEFACT_2H_DUALCROSSBOW_HELL	Adept's Hellish Bolts	1	false
Boltcasters	5	T5_ARTEFACT_2H_DUALCROSSBOW_HELL	Expert's Hellish Bolts	1	false
Boltcasters	6	T6_ARTEFACT_2H_DUALCROSSBOW_HELL	Master's Hellish Bolts	1	false
Boltcasters	7	T7_ARTEFACT_2H_DUALCROSSBOW_HELL	Grandmaster's Hellish Bolts	1	false
Boltcasters	8	T8_ARTEFACT_2H_DUALCROSSBOW_HELL	Elder's Hellish Bolts	1	false
Boots of Valor	4	T4_ARTEFACT_SHOES_PLATE_AVALON	Adept's Exalted Greave	1	false
Boots of Valor	5	T5_ARTEFACT_SHOES_PLATE_AVALON	Expert's Exalted Greave	1	false
Boots of Valor	6	T6_ARTEFACT_SHOES_PLATE_AVALON	Master's Exalted Greave	1	false
Boots of Valor	7	T7_ARTEFACT_SHOES_PLATE_AVALON	Grandmaster's Exalted Greave	1	false
Boots of Valor	8	T8_ARTEFACT_SHOES_PLATE_AVALON	Elder's Exalted Greave	1	false
Bow of Badon	4	T4_ARTEFACT_2H_BOW_KEEPER	Adept's Carved Bone	1	false
Bow of Badon	5	T5_ARTEFACT_2H_BOW_KEEPER	Expert's Carved Bone	1	false
Bow of Badon	6	T6_ARTEFACT_2H_BOW_KEEPER	Master's Carved Bone	1	false
Bow of Badon	7	T7_ARTEFACT_2H_BOW_KEEPER	Grandmaster's Carved Bone	1	false
Bow of Badon	8	T8_ARTEFACT_2H_BOW_KEEPER	Elder's Carved Bone	1	false
Bridled Fury	4	T4_ARTEFACT_2H_DAGGER_KATAR_AVALON	Adept's Bloodstained Antiquities	1	false
Bridled Fury	5	T5_ARTEFACT_2H_DAGGER_KATAR_AVALON	Expert's Bloodstained Antiquities	1	false
Bridled Fury	6	T6_ARTEFACT_2H_DAGGER_KATAR_AVALON	Master's Bloodstained Antiquities	1	false
Bridled Fury	7	T7_ARTEFACT_2H_DAGGER_KATAR_AVALON	Grandmaster's Bloodstained Antiquities	1	false
Bridled Fury	8	T8_ARTEFACT_2H_DAGGER_KATAR_AVALON	Elder's Bloodstained Antiquities	1	false
Brimstone Staff	4	T4_ARTEFACT_2H_FIRESTAFF_HELL	Adept's Burning Orb	1	false
Brimstone Staff	5	T5_ARTEFACT_2H_FIRESTAFF_HELL	Expert's Burning Orb	1	false
Brimstone Staff	6	T6_ARTEFACT_2H_FIRESTAFF_HELL	Master's Burning Orb	1	false
Brimstone Staff	7	T7_ARTEFACT_2H_FIRESTAFF_HELL	Grandmaster's Burning Orb	1	false
Brimstone Staff	8	T8_ARTEFACT_2H_FIRESTAFF_HELL	Elder's Burning Orb	1	false
Caitiff Shield	4	T4_ARTEFACT_OFF_SHIELD_HELL	Adept's Infernal Shield Core	1	false
Caitiff Shield	5	T5_ARTEFACT_OFF_SHIELD_HELL	Expert's Infernal Shield Core	1	false
Caitiff Shield	6	T6_ARTEFACT_OFF_SHIELD_HELL	Master's Infernal Shield Core	1	false
Caitiff Shield	7	T7_ARTEFACT_OFF_SHIELD_HELL	Grandmaster's Infernal Shield Core	1	false
Caitiff Shield	8	T8_ARTEFACT_OFF_SHIELD_HELL	Elder's Infernal Shield Core	1	false
Camlann Mace	4	T4_ARTEFACT_2H_MACE_MORGANA	Adept's Imbued Mace Head	1	false
Camlann Mace	5	T5_ARTEFACT_2H_MACE_MORGANA	Expert's Imbued Mace Head	1	false
Camlann Mace	6	T6_ARTEFACT_2H_MACE_MORGANA	Master's Imbued Mace Head	1	false
Camlann Mace	7	T7_ARTEFACT_2H_MACE_MORGANA	Grandmaster's Imbued Mace Head	1	false
Camlann Mace	8	T8_ARTEFACT_2H_MACE_MORGANA	Elder's Imbued Mace Head	1	false
Carrioncaller	4	T4_ARTEFACT_2H_HALBERD_MORGANA	Adept's Morgana Halberd Head	1	false
Carrioncaller	5	T5_ARTEFACT_2H_HALBERD_MORGANA	Expert's Morgana Halberd Head	1	false
Carrioncaller	6	T6_ARTEFACT_2H_HALBERD_MORGANA	Master's Morgana Halberd Head	1	false
Carrioncaller	7	T7_ARTEFACT_2H_HALBERD_MORGANA	Grandmaster's Morgana Halberd Head	1	false
Carrioncaller	8	T8_ARTEFACT_2H_HALBERD_MORGANA	Elder's Morgana Halberd Head	1	false
Carving Sword	4	T4_ARTEFACT_2H_CLEAVER_HELL	Adept's Demonic Blade	1	false
Carving Sword	5	T5_ARTEFACT_2H_CLEAVER_HELL	Expert's Demonic Blade	1	false
Carving Sword	6	T6_ARTEFACT_2H_CLEAVER_HELL	Master's Demonic Blade	1	false
Carving Sword	7	T7_ARTEFACT_2H_CLEAVER_HELL	Grandmaster's Demonic Blade	1	false
Carving Sword	8	T8_ARTEFACT_2H_CLEAVER_HELL	Elder's Demonic Blade	1	false
Celestial Censer	4	T4_ARTEFACT_OFF_CENSER_AVALON	Adept's Severed Celestial Keepsake	1	false
Celestial Censer	5	T5_ARTEFACT_OFF_CENSER_AVALON	Expert's Severed Celestial Keepsake	1	false
Celestial Censer	6	T6_ARTEFACT_OFF_CENSER_AVALON	Master's Severed Celestial Keepsake	1	false
Celestial Censer	7	T7_ARTEFACT_OFF_CENSER_AVALON	Grandmaster's Severed Celestial Keepsake	1	false
Celestial Censer	8	T8_ARTEFACT_OFF_CENSER_AVALON	Elder's Severed Celestial Keepsake	1	false
Chillhowl	4	T4_ARTEFACT_MAIN_FROSTSTAFF_AVALON	Adept's Chilled Crystalline Shard	1	false
