# Albion UniqueName	Albion numeric ID used by market_history.AlbionId
# entries=11218
UNIQUE_HIDEOUT	1
T3_2H_TOOL_TRACKING	2
T4_2H_TOOL_TRACKING	3
T5_2H_TOOL_TRACKING	4
T6_2H_TOOL_TRACKING	5
T7_2H_TOOL_TRACKING	6
T8_2H_TOOL_TRACKING	7
T1_FARM_CARROT_SEED	8
T2_FARM_BEAN_SEED	9
T3_FARM_WHEAT_SEED	10
T4_FARM_TURNIP_SEED	11
T5_FARM_CABBAGE_SEED	12
T6_FARM_POTATO_SEED	13
T7_FARM_CORN_SEED	14
T8_FARM_PUMPKIN_SEED	15
T2_FARM_AGARIC_SEED	16
T3_FARM_COMFREY_SEED	17
T4_FARM_BURDOCK_SEED	18
T5_FARM_TEASEL_SEED	19
T6_FARM_FOXGLOVE_SEED	20
T7_FARM_MULLEIN_SEED	21
T8_FARM_YARROW_SEED	22
T3_FARM_OX_BABY	23
T4_FARM_OX_BABY	24
T5_FARM_OX_BABY	25
T6_FARM_OX_BABY	26
T7_FARM_OX_BABY	27
T8_FARM_OX_BABY	28
T3_FARM_OX_GROWN	29
T4_FARM_OX_GROWN	30
T5_FARM_OX_GROWN	31
T6_FARM_OX_GROWN	32
T7_FARM_OX_GROWN	33
T8_FARM_OX_GROWN	34
T3_FARM_HORSE_BABY	35
T4_FARM_HORSE_BABY	36
T5_FARM_HORSE_BABY	37
T6_FARM_HORSE_BABY	38
T7_FARM_HORSE_BABY	39
T8_FARM_HORSE_BABY	40
T3_FARM_HORSE_GROWN	41
T4_FARM_HORSE_GROWN	42
T5_FARM_HORSE_GROWN	43
T6_FARM_HORSE_GROWN	44
T7_FARM_HORSE_GROWN	45
T8_FARM_HORSE_GROWN	46
T6_FARM_DIREWOLF_BABY	47
T7_FARM_DIREBOAR_BABY	48
T8_FARM_DIREBEAR_BABY	49
T7_FARM_SWAMPDRAGON_BABY	50
T8_FARM_MAMMOTH_BABY	51
T5_FARM_COUGAR_BABY	52
T8_FARM_DIREWOLF_BABY	53
T4_FARM_GIANTSTAG_BABY	54
T6_FARM_GIANTSTAG_BABY	55
T6_FARM_GIANTSTAG_MOOSE_BABY	56
T8_FARM_RABBIT_EASTER_BABY	57
T8_FARM_RABBIT_EASTER_BABY_DARK	58
T8_FARM_RABBIT_EASTER_GROWN	59
T8_FARM_RABBIT_EASTER_GROWN_DARK	60
T5_FARM_MOABIRD_FW_BRIDGEWATCH_BABY	61
T5_FARM_DIREBEAR_FW_FORTSTERLING_BABY	62
T5_FARM_DIREBOAR_FW_LYMHURST_BABY	63
T5_FARM_RAM_FW_MARTLOCK_BABY	64
T5_FARM_SWAMPDRAGON_FW_THETFORD_BABY	65
T5_FARM_GREYWOLF_FW_CAERLEON_BABY	66
T5_FARM_OWL_FW_BRECILIEN_BABY	67
T5_FARM_SPIDER_HELL_BABY	68
T8_FARM_MOABIRD_FW_BRIDGEWATCH_BABY	69
T8_FARM_DIREBEAR_FW_FORTSTERLING_BABY	70
T8_FARM_DIREBOAR_FW_LYMHURST_BABY	71
T8_FARM_RAM_FW_MARTLOCK_BABY	72
T8_FARM_SWAMPDRAGON_FW_THETFORD_BABY	73
T8_FARM_GREYWOLF_FW_CAERLEON_BABY	74
T8_FARM_OWL_FW_BRECILIEN_BABY	75
T8_FARM_SPIDER_HELL_BABY	76
T6_FARM_DIREWOLF_GROWN	77
T7_FARM_DIREBOAR_GROWN	78
T8_FARM_DIREBEAR_GROWN	79
T7_FARM_SWAMPDRAGON_GROWN	80
T8_FARM_MAMMOTH_GROWN	81
T5_FARM_COUGAR_GROWN	82
T8_FARM_DIREWOLF_GROWN	83
T4_FARM_GIANTSTAG_GROWN	84
T6_FARM_GIANTSTAG_GROWN	85
T6_FARM_GIANTSTAG_MOOSE_GROWN	86
T5_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN	87
T5_FARM_DIREBEAR_FW_FORTSTERLING_GROWN	88
T5_FARM_DIREBOAR_FW_LYMHURST_GROWN	89
T5_FARM_RAM_FW_MARTLOCK_GROWN	90
T5_FARM_SWAMPDRAGON_FW_THETFORD_GROWN	91
T5_FARM_GREYWOLF_FW_CAERLEON_GROWN	92
T5_FARM_OWL_FW_BRECILIEN_GROWN	93
T5_FARM_SPIDER_HELL_GROWN	94
T8_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN	95
T8_FARM_DIREBEAR_FW_FORTSTERLING_GROWN	96
T8_FARM_DIREBOAR_FW_LYMHURST_GROWN	97
T8_FARM_RAM_FW_MARTLOCK_GROWN	98
T8_FARM_SWAMPDRAGON_FW_THETFORD_GROWN	99
T8_FARM_GREYWOLF_FW_CAERLEON_GROWN	100
T8_FARM_OWL_FW_BRECILIEN_GROWN	101
T8_FARM_SPIDER_HELL_GROWN	102
T3_FARM_CHICKEN_BABY	103
T4_FARM_GOAT_BABY	104
T5_FARM_GOOSE_BABY	105
T6_FARM_SHEEP_BABY	106
T7_FARM_PIG_BABY	107
T8_FARM_COW_BABY	108
T3_FARM_CHICKEN_GROWN	109
T4_FARM_GOAT_GROWN	110
T5_FARM_GOOSE_GROWN	111
T6_FARM_SHEEP_GROWN	112
T7_FARM_PIG_GROWN	113
T8_FARM_COW_GROWN	114
T6_MOUNTUPGRADE_GIANTSTAG_XMAS	115
UNIQUE_MOUNTUPGRADE_RAM_XMAS	116
T5_MOUNTUPGRADE_HORSE_CURSE	117
T8_MOUNTUPGRADE_HORSE_CURSE	118
T8_MOUNTUPGRADE_COUGAR_KEEPER	119
T5_MOUNTUPGRADE_HORSE_MORGANA	120
T8_MOUNTUPGRADE_HORSE_MORGANA	121
T1_CARROT	122
T2_BEAN	123
T3_WHEAT	124
T4_TURNIP	125
T5_CABBAGE	126
T6_POTATO	127
T7_CORN	128
T8_PUMPKIN	129
T2_AGARIC	130
T3_COMFREY	131
T4_BURDOCK	132
T5_TEASEL	133
T6_FOXGLOVE	134
T7_MULLEIN	135
T8_YARROW	136
T3_EGG	137
T4_MILK	138
T5_EGG	139
T6_MILK	140
T8_MILK	141
T1_FISH_FRESHWATER_ALL_COMMON	142
T2_FISH_FRESHWATER_ALL_COMMON	143
T3_FISH_FRESHWATER_ALL_COMMON	144
T4_FISH_FRESHWATER_ALL_COMMON	145
T5_FISH_FRESHWATER_ALL_COMMON	146
T6_FISH_FRESHWATER_ALL_COMMON	147
T7_FISH_FRESHWATER_ALL_COMMON	148
T8_FISH_FRESHWATER_ALL_COMMON	149
T1_FISH_SALTWATER_ALL_COMMON	150
T2_FISH_SALTWATER_ALL_COMMON	151
T3_FISH_SALTWATER_ALL_COMMON	152
